dataset,model,graph_mode,seeding,technique,seed,n_parameters,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
BasicMotions,hybrid_tgnn,adaptive_nosvd_dtw,noSVD,dtw,789,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_dtw,noSVD,dtw,1024,105770,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,hybrid_tgnn,adaptive_nosvd_knn,noSVD,knn,42,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_knn,noSVD,knn,123,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_knn,noSVD,knn,456,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_knn,noSVD,knn,789,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_knn,noSVD,knn,1024,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,random_predef_seed1024,,none,1024,105863,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,random_predef_seed123,,none,123,105863,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,random_predef_seed42,,none,42,105863,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,random_predef_seed456,,none,456,105863,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,random_predef_seed789,,none,789,105863,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,random_predef_seed1024,,none,1024,204037,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,random_predef_seed123,,none,123,204037,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,random_predef_seed42,,none,42,204037,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,dcrnn,random_predef_seed456,,none,456,204037,1.0,1.0,1.0,1.0,1.0
