dataset,model,graph_mode,seed,n_folds,n_parameters,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,macro_precision_mean,macro_recall_mean,weighted_accuracy
DSA,a3tgcn,random_predef_seed42,42,8,423574,0.8287280701754387,0.0639730984502929,0.808507602034666,0.0750492545446819,0.808507602034666,0.8312068888464323,0.8287280701754387,0.8287280701754386
DSA,a3tgcn,random_predef_seed456,42,8,423574,0.8324561403508772,0.066918671899665,0.8101017388378778,0.0794779965715316,0.8101017388378777,0.8354837325935259,0.8324561403508772,0.8324561403508772
DSA,a3tgcn,random_predef_seed789,42,8,423574,0.8459429824561404,0.0486959395939046,0.8249730023959821,0.0579814235347574,0.8249730023959821,0.8531089036812622,0.8459429824561404,0.8459429824561403
DSA,cnn_bigru,none,1024,8,2226195,0.8274122807017544,0.0574942119746664,0.7929475483641876,0.0760892347205752,0.7929475483641875,0.8151539889100882,0.8274122807017544,0.8274122807017544
DSA,cnn_bigru,none,123,8,2226195,0.831469298245614,0.0564639752217774,0.7943283367363136,0.0746230375996139,0.7943283367363138,0.8196479547077911,0.831469298245614,0.831469298245614
DSA,cnn_bigru,none,42,8,2226195,0.8275219298245614,0.0790240094607499,0.7943954275436461,0.1042400877910028,0.7943954275436461,0.8295956834513909,0.8275219298245614,0.8275219298245614
DSA,cnn_bigru,none,456,8,2226195,0.8179824561403508,0.0423489839545431,0.7865503320810995,0.052227664519651,0.7865503320810994,0.8071323855648779,0.8179824561403508,0.8179824561403509
DSA,cnn_bigru,none,789,8,2226195,0.8427631578947368,0.0505809394974353,0.8132214134537276,0.0658942855768596,0.8132214134537274,0.8236480231629228,0.8427631578947368,0.8427631578947369
DSA,dcrnn,adaptive,1024,8,1209908,0.8128289473684212,0.0851757745444799,0.7884869435687043,0.1011229820760671,0.7884869435687043,0.8163332883370742,0.8128289473684209,0.812828947368421
DSA,dcrnn,adaptive,123,8,1209908,0.8120614035087719,0.0800120100057007,0.7910785295421381,0.0906775406434554,0.7910785295421381,0.8043306037258364,0.8120614035087719,0.812061403508772
DSA,dcrnn,adaptive,42,8,1209908,0.8405701754385966,0.0877968407268325,0.823879105751719,0.09903526182804,0.8238791057517192,0.8493299999436394,0.8405701754385965,0.7587719298245614
DSA,dcrnn,adaptive,456,8,1209908,0.8493421052631579,0.054139136408932,0.8273075070614269,0.0630654033646587,0.8273075070614269,0.847843372909987,0.8493421052631578,0.8493421052631579
